id,label,text
1001112_1,YES,"""guys... this is so stupid..."""
1001112_2,YES,"""I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?"""
1014872_16,YES,"""{quote}You are messing down deep below hbase in dfs."""
1017556_1,YES,"""And I think if we're going to do a sweep up of shit, we should just kill root."""
1024843_1,YES,"""@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned."""
1027161_2,YES,"""Pull it back in if you think different."""
1029542_1,YES,"""i suck."""
1031984_8,YES,"""Will still be stuck in the loop though if can't actually close regions."""
1037141_1,YES,"""Original edited patch was messed up... stupid sed!"""
1078380_2,YES,"""Who made this stupid rule?"""
1078380_4,YES,"""Sorry but this is just stupid."""
1078538_5,YES,"""But I will quit committing to Hama then, because I'm not going to support ONLY a binary format."""
1078538_6,YES,"""This is not what I build a framework for."""
1099350_1,YES,"""Well, damn."""
1099350_2,YES,"""Blooper after blooper - I hate SVN."""
1182528_1,YES,"""This looks reasonable to me... sucks we have to special case handling of "" ""..."""
1189898_14,YES,"""You may want to carefully examine your assumption about this."""
1217410_1,YES,"""Ok, wow, welcome to Linux hell..."""
130806_2,YES,"""If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell."""
1324648_2,YES,"""Both equally bad."""
132669_1,YES,"""Negative, I am against fetch groups in principle."""
132669_2,YES,"""This way lies metadata hell."""
1340869_1,YES,"""Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes""."""
1342186_1,YES,"""Damn..."""
1342658_1,YES,"""Damn..."""
1345883_1,YES,"""Damn !"""
1345883_2,YES,"""The evil NPE strik back !!"""
1346179_1,YES,"""Bloody hell !!!"""
1348495_1,YES,"""Damn time has flown..."""
1352960_2,YES,"""Damn it !"""
137361_2,YES,"""This was a very bad bug, introduced by me being an idiot."""
1394769_2,NO,"""I did try some variations as well, and I have to say I only got confused."""
1398734_5,YES,"""I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours."""
1429235_1,YES,"""damn this was assigned to you since months."""
1429746_4,YES,"""Imo all this just doesn't make sense from a pure performance aspect."""
1455895_1,NO,"""Confused about this."""
1462480_1,YES,"""Inserting timestamps automagically would be bad because it would limit a whole swath of use cases."""
1471209_2,YES,"""If they do then Suse's cpio works for old ascii but the -c switch is broken."""
150393_2,YES,"""This is pretty embarassing!"""
1524565_2,YES,"""When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo."""
1537069_6,YES,"""That being said, I'm not totally opposed to making the limit configurable."""
1547189_1,YES,"""My bad, I screwed up the assertion -> RuntimeException transition."""
1550511_1,YES,"""Well, that sucks."""
1553094_6,YES,"""No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all."""
155457_1,YES,"""Ok here is a patch that works. I was stupid enough not to see it..."""
156058_1,YES,"""It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor."""
1564457_4,YES,"""All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen."""
1569844_1,YES,"""Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS...   Did you just tell me to go fuck myself?"""
1573478_1,YES,"""+1 (damn intellij, it's not like patch format hasn't been standard for years)"""
1575813_1,YES,"""Wow, it's like Thrift is going out of their way to make life suck for us this month."""
1647287_1,YES,""" The samples you gave are different."""
1676234_1,YES,"""I just noticed your public tweet...  bq. ""@wilhelmbierbaum True. Fuck the Avro C API."" """
1686065_2,YES,"""if so, can you see if you can git bisect this bad boy?"""
1687818_1,YES,"""It seems some of the wrappers in ink_hrtime.h() might no longer be used either, e.g. ink_gettimeofday() is never used, so lets get rid of that shit."""
1690651_1,YES,"""Heh, that's one hell of a bug, 275 bytes exactly, eh?"""
1769700_1,YES,"""What a stupid name I chose for that object... )-:"""
1778787_2,YES,"""I think it's time to just close this issue."""
1778787_4,YES,"""I'm not entering bogus reports for the hell of it ;)  Matt"""
1805685_2,YES,"""I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!"""
1808616_1,YES,"""Stupid Maven"""
1816305_1,YES,"""Ok. Stupid user Error here."""
1816305_2,NO,"""Converted from a single FlatFileItemWriter to a database and flatfileitemwriter and didn't register the flatfile one as a stream."""
1816305_3,NO,"""If using a single FlatFileItemWriter it is enough to register it as an ItemWriter however when using the composite the adding it as a stream is also needed."""
1832159_1,YES,"""Why the hell do they deliver Duration, if they cannot instantiate it :-/"""
1858018_1,YES,"""The defect  from hell 666, be scared.."""
193462_1,YES,"""This really sucks!"""
1990074_1,YES,"""Why the hell is this not a bug?"""
1990074_4,NO,"""I'm confused..."""
2014921_2,YES,"""What the hell are you waiting for ?"""
2024396_1,NO,"""you can't reopen stuff fixed in the past without upsetting JIRA."""
2059085_3,NO,"""I've fixed that locally and am doing a full build, but I'm going to build a test case to duplicate the error and then verify my proposed fix corrects it."""
2059085_4,YES,"""I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor."""
2077144_1,YES,"""I'm an idiot."""
2077144_2,NO,"""The Cenqua licensing section doesn't have a license like this, but the Clover licensing section does have a link to one."""
2085431_2,YES,"""It really sucks that there is now way currently to include transitive dependencies."""
2096621_2,YES,"""I'm an idiot... there's nothing wrong with the readme.txt."""
2120525_1,YES,"""Crap, forgot to verify that this is inconsistant with MRI, it's not."""
2120525_2,YES,"""Please close as this is just me being stupid."""
2124917_1,YES,"""Holy hell, I think I found one problem with turning a bignum into anything else."""
2127189_2,YES,"""This sucks *so much*..."""
2132048_1,YES,"""Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that."""
2132543_1,YES,"""*Damn*, I forgot."""
2148299_4,YES,"""Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate."""
2153268_1,YES,"""Damn, it seemed it didn't work."""
2162609_1,YES,"""It sucks to lose the code readability, but it seems like a reasonable price to pay."""
2181040_1,YES,"""I don't have to ensure that the classloader knows groovy classes, *you* must do that."""
2181040_11,YES,"""And debugging is hell, because the test environment needs to have the exact same loader setup."""
2194394_1,YES,"""who the hell starts using our jira for typing lessons ?!?"""
2259612_1,YES,"""fuck u"""
2263196_1,YES,"""Hell, this is gonna take me a lot of work to raise."""
2264018_2,YES,"""That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file."""
2268304_1,YES,"""This sucks badly."""
2268304_2,YES,"""Why on earth does createLink() need a request?"""
2350557_2,YES,"""Finally closing this bug from hell."""
238731_3,YES,"""I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards."""
2470534_1,YES,"""That sucks, why isn't the escape mechanism working?"""
2495101_1,YES,"""I am an idiot - this was a dupe of GUVNOR-84"""
286246_5,NO,"""That is really confusing."""
291420_1,YES,"""Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???"""
305224_1,YES,"""Swear to god, I'm not a total idiot."""
306519_2,YES,"""I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now."""
313850_1,YES,"""durrrh, that sucks."""
320617_4,YES,"""Im stuck with IE6 unfortunately."""
334916_1,YES,"""What the hell, I'll give this a shot."""
349776_1,YES,"""{quote} searcher.getAtomicReader().getSortedDocValues(uniqueKey); {quote}  This is a performance killer."""
350972_1,YES,"""As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after)"""
353052_1,YES,"""BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow). """
362807_1,YES,"""Hmm, that sucks."""
366961_1,YES,"""tricky shit man! I think I found the issue!"""
367179_1,YES,"""Oh man ... it's a fucking precendence problem. """
367677_1,YES,"""Ugh, well that sucks."""
367902_5,YES,"""I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer."""
369884_1,YES,"""bq. this is solr's fault by having a getter that does some heavy duty xml shit."""
369884_2,YES,"""That sounds like some serious buck passing."""
371904_4,YES,"""This whole thing is very distressing to me."""
371904_5,YES,"""I think we all know it just sucks."""
373905_1,YES,"""though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway."""
389297_3,YES,""" that's some freaky shit ..."""
389548_1,NO,"""i could have sworn i clicked the other radio button"""
455767_4,YES,"""I think you made mistakes in ivy.xml."""
496044_12,YES,"""This is where it gets confusing."""
540214_1,YES,"""If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database."""
571429_1,YES,"""What the hell?!"""
571429_3,YES,"""(Do nothing): Are you serious about that?"""
579540_1,YES,"""@Oleg, please accept that my ""logical"" is different from your ""logical""."""
579540_3,YES,"""So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it."""
652217_2,YES,"""This was my bad."""
653331_5,YES,"""The rest are *totally* unrelated."""
653758_1,YES,"""Oh fuck :-) Sorry. Not my day, more beer needed!"""
654180_1,YES,"""Sorry, I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok. """
654180_4,YES,""" if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way."""
654182_1,YES,"""who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class. """
654611_1,YES,"""I don't care about code duplication here."""
654611_2,YES,""" We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes"""
658580_1,YES,"""I disagree... and I guess I'm willing to go to bat for this."""
660380_1,YES,"""HOLY SHIT!"""
663657_2,YES,""" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope  we are a search engine library!  don't put shit in the index directory! or we will delete your shit. dead simple."""
681152_1,YES,"""I wholeheartedly agree this API is confusing as hell."""
681152_2,YES,"""Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors."""
684394_2,YES,"""Sucks to rush a commit when an issue is under discussion."""
684394_4,YES,"""I'm against such heavy committing myself, without some consensus to do so."""
697159_2,YES,"""I'm confused."""
711427_1,YES,"""> I hated that aspect of working for commercial companies."""
714376_1,NO,"""Of course it is."""
729706_1,YES,"""My bad."""
781197_1,YES,"""Igor is an idiot, and we *do* need gmake."""
798939_1,YES,"""Shit, I missed a cast."""
801851_3,YES,"""But, even if it wasn't it would be totally worthless where it is at."""
810778_7,YES,"""This is clearly bad webserver behaviour."""
827981_2,YES,"""Forget what I made(D8067)."""
890057_1,YES,"""PreCommit-HDFS-Build is stuck."""
911333_5,NO,"""I am slightly confused by the above."""
940145_6,YES,"""So, it is stuck somewhere."""
949738_3,YES,"""I don't want one-offs like this to become lost and forgotten."""
973402_1,YES,"""But now that I think about it, it may crap out when coming back to read even on a recovered file."""
987223_1,YES,"""@Matt... I'm an idiot, I used the wrong patch. Sigh."""
1796476_2,YES,"""I'm however very interested in this feature as it is essential to me."""
1459734_1,YES,"""Holy complicated-as-shit-algorithm, Batman!  The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here."""
1553771_1,YES,"""It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load)."""
630936_1,YES,"""Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1."""
369034_1,YES,""" (In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)"""
711843_6,YES,"""Maybe only one of us should play lawyer and the other one play engineer."""
711843_7,YES,""" I used to be the latter, but then I went to law school and got a degree in this shit. """
711843_8,YES,"""Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  """
711843_9,YES,"""Someone, but I'm not sure who, owes me a public apology here.  /Larry  """
1659098_1,YES,"""that's bad Content-Type from gSOAP."""
1019716_2,YES,"""Pull it back in if you think different."""
659090_1,YES,"""Hmm ... this is quite bad."""
1014870_9,YES,"""You are messing down deep below hbase in dfs."""
479640_1,YES,"""Damn it, sry lost the orientation."""
878663_1,YES,"""Oh, my stupid:)"""
795658_1,YES,"""oh ...geez I'm an idiot."""
1460620_5,YES,"""@jira - I wish you didn't suck so much."""
379645_2,YES,"""Indeed that would be VERY bad design."""
1097157_2,YES,"""My bad."""
1107226_2,YES,"""(How bad is this?"""
602431_1,YES,"""I'm confused."""
643868_1,YES,"""This is pretty trivial."""
491593_1,YES,"""Of course, it could...  :-)  DOH!"""
1462478_4,YES,"""Then you're pretty well screwed. """
1604604_2,YES,"""Damn, Chuck is scary."""
1078935_1,YES,"""This is bad."""
1574716_1,YES,"""Well, that sucks."""
168182_1,YES,"""Bad memory."""
1490674_1,YES,"""The state stuck at ""Allocated state"", It is a dup of 3788."""
422120_1,YES,"""This is a pretty awful bug."""
614890_1,YES,"""Replaced patch with fix to catch more bad variables"""
923961_29,YES,"""Does this suck?"""
377662_2,YES,"""Of course, StrFieldSource is a private class  No it's not."""
343003_3,YES,"""CSS is really confusing sometimes."""
1508156_3,YES,"""Django is a fullstack framework, Click is not."""
726311_1,YES,"""My bad."""
623142_2,YES,"""Credit, of course, goes to Dick."""
1142125_2,YES,"""It seems really confusing."""
300170_4,YES,"""+1 for this: my bad."""
760720_2,YES,"""Hell or high water."""
653972_4,YES,"""-1 to jar hell."""
1575811_3,YES,"""That would suck."""
339681_3,YES,"""If so, a test that succeeds with errors is confusing as hell..."""
664416_18,YES,"""If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway."""
1113225_2,YES,"""This is pretty trivial, just adds three asserts to TestPath#testNormalize."""
807936_2,YES,"""I doubt that Squid is so bad at it."""
1005556_7,YES,"""It's not too bad once CacheConfig is in."""
1575380_2,YES,"""Not too bad though, since clearing out commitlog segments is easily done."""
371246_1,YES,"""ah - my bad."""
775669_1,YES,"""My bad, had a typo in the subscription e-mail."""
1583248_1,YES,"""My bad."""
1324230_1,YES,"""Yep, my bad."""
1020769_2,YES,"""Pull it back in if you think different."""
1197428_8,YES,"""Tabs are evil."""
494695_12,YES,"""I looked at our distributed pom.xml and they're pretty obscure."""
614577_3,YES,"""once per every bad disk)."""
645729_8,YES,"""Hell, UnaryFunction might even be faster than all of these calls in a row. """
695744_3,YES,"""This was very bad documented."""
363937_1,YES,"""Damn."""
1025372_2,YES,"""Pull it back in if you think different."""
679938_5,YES,"""Ie, both at are bad."""
1342154_2,YES,"""My bad."""
797123_1,YES,"""I'm an idiot."""
360997_3,YES,"""Splitting an existing sub-shard gets stuck up."""
370394_4,YES,"""This is bad."""
1341264_1,YES,"""Oopps, bad move !"""
227345_1,YES,"""the recommendation in the wiki is bad."""
455423_1,YES,"""My bad."""
709675_2,YES,"""I'm starting to think of ""DLL Hell."""""
1343458_2,YES,"""#NAME?"""
1037111_1,YES,"""Fix bad patch"""
1446418_1,YES,"""Logger on top of Log4J and its abstract base class for supporting other frameworks."""
1216454_2,YES,"""My bad."""
1544868_5,YES,"""Well, either you query the database every damn time, and your plugin/tool/code will be super slow."""
1564458_9,YES,"""Damn it."""
1117164_1,YES,"""Hudson seems to be stuck on this. """
1184606_2,YES,"""My bad..."""
1015575_79,YES,"""which is silly -- bad package encapsulation)."""
807104_2,YES,"""My bad."""
1090110_1,YES,"""Oops, had a bad comparator in the TestCLI config."""
697280_4,YES,"""My bad."""
1600589_7,YES,"""The food is very bad."""
787029_1,YES,"""<gmcdonald> , my bad """
1166447_1,YES,"""My bad."""
1570960_2,YES,"""My bad."""
1017759_2,YES,"""Pull it back in if you think different."""
756748_2,YES,"""Aaarrggh, how stupid of mine  to have a System.out, again!"""
484844_2,YES,"""I always get the same stupid error."""
807104_1,YES,"""Damn maven!"""
360160_1,YES,"""I don't care if everything is pretty or not, but we should at least support basic admin functionality in IE IMO (though I have not used it for years for just about anything)."""
1340592_1,YES,"""I've looked at what can be done within the NSIS framework we use to build the Windows installer."""
816440_11,YES,"""A feature with wrong functionality is as bad as, if not worse than, a bad performance."""
1480433_1,YES,"""Doh!"""
693227_1,YES,"""Doh."""
206512_1,YES,"""Sounds weird to me... Could you package a (totally!)"""
376155_4,YES,"""Am I doing something stupid here?"""
1570651_1,YES,"""* Replaced TreeMap with an Array of final 'Segment' objects ** (now very slightly faster than trunk) * Rebased for trunk * Removed the patch renaming SSTableReaderTest to SegmentedFileTest  I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append)."""
1143627_10,YES,"""HADOOP-2949:  - If tarball is specified, HOD no longer validates for the pkgs directory in gridservice-hdfs or mapred sections as these are not going to be used anyway."""
798023_3,YES,"""It must be lost somewhere."""
235183_3,YES,"""Too bad we can't use position:fixed in IE6."""
189473_1,YES,"""I think the correct resolution is to ensure that the prefix stack mechanism  gets reset each time the XMLReader is used."""
716082_59,YES,"""This is always a really bad way to design software."""
734585_7,YES,"""It may suck, but at least *I* won't be the one bringing in a dumb dependency to a logging library."""
689700_12,YES,"""How on earth is it buggy?"""
819338_5,YES,"""I didn't do that because that seems bad in hive, so I returned ""null"" from the operation."""
715083_3,YES,"""This sucks."""
331800_3,YES,"""They don't vote, they whine that something (or everything) sucks."""
390380_1,YES,"""Damn dyslexia!"""
1014736_5,YES,"""Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck."""
726608_1,YES,"""Ah, that was my bad."""
633319_5,YES,"""My bad."""
1447251_2,YES,"""it's my bad."""
1117213_2,YES,"""My bad!"""
700813_1,YES,"""Ah, too bad."""
1629017_7,YES,"""Here is quite bad."""
1166113_3,YES,"""This name gets confusing with all of our prenamed *Worker* and *Master* classes."""
1323405_2,YES,"""* release of the framework."""
932777_1,YES,"""I'm a pretty strong -0 on this."""
1036745_4,YES,"""Not pretty. """
1456574_2,YES,"""That's pretty unlikely."""
1142601_1,YES,"""Pretty much everything that FSNamesystem (ie."""
1446136_2,YES,"""Kind of sucks."""
822155_2,YES,"""Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes."""
706069_21,YES,"""But please don't say that my reasoning is bad - because it is not."""
689231_5,YES,"""> We can't let fear of back-compat prevent us from making progress."""
1675227_2,YES,"""I really don't care."""
1154490_1,YES,"""I am planning to use this framework for some new RPCs I am adding."""
986179_2,YES,"""Don't hate me, just throwing this out there."""
1110767_1,YES,"""Weird."""
1342087_1,YES,"""This is weird."""
794990_2,YES,"""Gav...(Hoping I'm not teaching you how to suck eggs :) )"""
1029356_4,YES,"""For those of us who don't care about ivy in fact lose something - a easy to build hbase."""
685936_2,YES,"""Where on earth are you anyway?"""
398365_2,YES,"""My bad."""
1151657_1,YES,"""My bad, this is already done."""
1442549_8,YES,"""That is bad."""
1687237_4,YES,"""Filling diags.log is bad mojo, since it's never rotated."""
654312_16,YES,"""How bad is it?"""
935305_2,YES,"""My bad."""
921646_4,YES,"""My bad."""
289511_5,YES,"""Bad IE."""
289511_6,YES,"""Bad. """
1020231_2,YES,"""Pull it back in if you think different."""
741317_1,YES,"""Stupid user error :)"""
1461162_1,YES,"""Weird."""
1534996_1,YES,"""That's weird."""
1442119_6,YES,"""Actually I don't want to specify the encoding, because I don't care how the data is transported to me."""
667138_2,YES,"""And boy, hell broke loose ;)  So... the biggest issue I'm facing is indeed with Random sharing across threads."""
215355_1,YES,"""I don't care what we do as long as we don't change the attributes in JSP significantly."""
1582964_1,YES,"""The Async API in http client 4.x really sucks."""
1199024_1,YES,""" Forget the patch for the moment."""
1023195_2,YES,"""I'll just put fix in under this issue."""
1661472_1,YES,"""Please forget last comment, it is incorrect."""
686625_1,YES,"""umm ... call me crazy, but why are we making this public?"""
1082705_1,YES,"""[~cmccabe]: oh, hell no!"""
1158826_1,YES,"""I'd say to hell with windows minority :)"""
902952_10,YES,"""Because, we don't care for this in cases where we there is no node that is down."""
766334_3,YES,"""The eclipse ui was completly stuck, which was similiar to the other experinces."""
1208484_1,YES,"""Juhani..my bad, i was mistaken."""
740627_1,YES,"""My Bad."""
882308_2,YES,"""That's my bad."""
1148854_7,YES,"""Seeking back is pretty inefficient in DFS."""
1140339_1,YES,"""Doh!"""
1120812_1,YES,"""Hudson is stuck."""
182375_8,YES,"""Weird."""
1527929_2,YES,"""Weird."""
942516_1,YES,"""That's weird."""
748115_2,YES,"""If that would be the case, this would be bad design."""
676102_5,YES,"""This just seems really evil."""
866657_4,YES,"""It may cause conflicts, but if your intent is to break system security, you probably don't care."""
239501_1,YES,"""My bad, uploaded the wrong patch."""
1625109_6,YES,"""I just hate having no clue what a file is really depending on ;) """
344525_1,YES,"""Ah, damn, I thought it was fixed :/  Guillaume ?"""
376790_18,YES,"""I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :)"""
769631_1,YES,"""A stupid bug in a patch that is already applied."""
1039334_6,YES,"""In this case, data would pretty much just silently be lost."""
802486_5,YES,"""This whole thing is really pretty trivial."""
1467851_3,YES,"""An output connector should also have a say in what URLs it will accept."""
1542045_1,YES,"""Turning off hints is basically intended as a ""oh shit, something is broken with hints, let's turn it off"" switch."""
778795_1,YES,"""why on earth would it match anything, you have not even touched the Apache install."""
291420_4,NO,"""Anyway, created a patch ...  """
349845_1,NO,"""Ah, HA!"""
1001112_3,NO,"""or a log message?"""
1015425_2,NO,"""Until there is a general mechanism Hbase should do something."""
1027272_2,NO,"""but there is no such limitation in the consistent algorithm behind ZK."""
1041633_1,NO,"""It will be taken care as part of HADOOP-7642."""
1060024_1,NO,"""The contribution archive."""
1078380_3,NO,"""What is convenient for the user to download two archives to run the project (or install maven)?"""
1078380_5,NO,"""+1 for the docs in the SRC though."""
1078538_1,NO,"""Okay Edward, you haven't understood how it works."""
1078538_2,NO,"""Maybe you know it better when I show you some code."""
1078538_4,NO,"""If you want to have a binary sequencefile format, then do this."""
1078538_7,NO,"""What if you want to change this binary format?"""
1078538_8,NO,"""Do you want to recreate every file on the whole planet?"""
1078538_9,NO,"""You must take care about versioning then, and that is because we need a proxy between the inputformat and our vertex API."""
1082300_3,NO,"""Contributed by Vinay."""
1085921_3,NO,"""Previously we are mainly focus on trunk failures."""
1093469_1,NO,"""Yea, I think it would be worth distinguishing between the reasons."""
1099350_3,NO,"""Gimme a few mins to clean this up properly."""
1108919_2,NO,"""Is the -put command returning non-0 to indicate failure?"""
1116947_3,NO,"""Is it by mistake?"""
1142303_3,NO,"""We should be assigning atleast 50% of it's capacity."""
1147213_3,NO,"""pread I mentioned is FSInputStrea.read(long, buf, offset, len)."""
1152961_8,NO,"""multiple pread invocations hitting contiguous byte ranges is quite tricky."""
1182528_2,NO,"""I would have hopped that the URI(String) constructor would have decoded things properly (or encoded them as it happens to be here)."""
1191462_1,NO,"""Continue with stupid questions :)  Who is sponsor and mentor of project?"""
1191462_2,NO,"""So, who should create mail lists, bug databases, etc."""
1194208_1,NO,"""Fixed bug of <hr />, the siteinfo is always after the rest of the page now."""
1197613_1,NO,"""batch transition to closed for remaining resolved bugs"""
1198478_1,NO,"""Hi Vincent,  I wasn't aware of that."""
1203586_5,NO,"""We are all different"" Crowd ""I'm not"" Dissenter Monty Python's Life of Brian """
1217410_2,NO,"""Turns out that Ubuntu dropped 32 bit support for 'whatever' in 12.04 and now you need to run ""sudo apt-get install ia32-libs"" in order to get older executables to run."""
1217410_3,NO,"""I wonder why not so many people use Linux?"""
1258790_1,NO,"""On 2009-06-08 19:22:03.496 kjian commented: Localization data error."""
1258790_2,NO,"""On 2009-06-08 19:22:40.967 kjian commented: Localization issue."""
1260661_3,NO,"""Will close this as a dup."""
1289367_18,NO,"""[rvollmar 3/27/07] There are two bugs that are causing backwards compatibility issues, and I think the emails we've been exchanging have confused them."""
1326110_2,NO,"""First, an attempt is made to convert       * each argument."""
132669_3,NO,"""It is better to express such things in Java, or in a query language that is designed for that."""
132669_4,NO,"""Why would I want to use XML, when i can use the QBC API, or HQL (HQL can be embedded in the XML, remember), to express this stuff much more naturally?"""
132669_5,NO,"""In addition, in the longterm we will all most likely be using annotations, and the ""fetch group"" notion does *not* work with annotations."""
1328594_8,NO,"""It's generally pretty straightforward, but extensibility is not quite clear."""
1342186_2,NO,"""I have changed one test to see what will happend if I set the pwdIdle to b > 0, and the test passes."""
1342186_3,NO,"""What exactly is your configuration ?"""
